Defaulted container "hyrax-worker" out of: hyrax-worker, service-wait (init)
=== Bulkrax Imports Cleanup ===
DRY_RUN: false
Started: Thu May 28 19:30:21 UTC 2026

DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_74_20250228142354_198/ (271.5 KB, 454d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_75_20250228143159_199/ (189.4 MB, 454d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_76_20250228143338_200/ (189.4 MB, 454d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_77_20250310131333_202/ (189.4 MB, 444d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_78_20250331135304_203/ (143.9 MB, 423d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_79_20250411153812_204/ (237.7 MB, 412d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/1_20240607125611/ (2.66 GB, 720d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/34_20250129153454/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/35_20250129154427/ (189.4 MB, 484d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/68_20250203143153/ (200.3 KB, 479d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/69_20250205141258/ (189.4 MB, 477d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/70_20250210144133/ (191.9 KB, 472d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/71_20250210162822/ (186.0 KB, 472d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/72_20250217162129/ (194.2 KB, 465d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/73_20250217162310/ (194.2 KB, 465d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/74_20250228142354/ (196.0 KB, 454d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/75_20250228143159/ (188.7 MB, 454d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/76_20250228143338/ (188.7 MB, 454d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/77_20250310131333/ (188.7 MB, 444d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/78_20250331135304/ (117.6 MB, 423d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/79_20250411153812/ (211.2 MB, 412d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/80_20250509141903/ (64.9 KB, 384d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/kevin-demo/import_1_20230809013625_2/ (14.2 MB, 1023d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/kevin-demo/import_2_20230809014528_3/ (14.2 MB, 1023d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/kevin-demo/import_35_20240515183332_43/ (55.0 MB, 743d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/kevin-demo/import_36_20240515184425_44/ (55.0 MB, 743d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/kevin-demo/import_37_20240523153223_45/ (55.0 MB, 735d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/kevin-demo/import_3_20230809014733_5/ (14.1 MB, 1023d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/kevin-demo/1_20230809013625/ (15.5 KB, 1023d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/kevin-demo/1_20230809013625_1/ (13.2 MB, 1023d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/kevin-demo/2_20230809014528/ (13.2 MB, 1023d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/kevin-demo/35_20240515183332/ (54.8 MB, 743d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/kevin-demo/36_20240515184425/ (54.8 MB, 743d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/kevin-demo/37_20240523153223/ (54.8 MB, 735d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/kevin-demo/3_20230809014733/ (16.3 KB, 1023d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/kevin-demo/3_20230809014733_4/ (13.1 MB, 1023d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/kevin-demo/3_20230809014733_5/ (16.3 KB, 1023d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/kevin-demo/3_20230809014733_8/ (16.3 KB, 1023d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/kevin-demo/3_20230809014733_9/ (16.3 KB, 1023d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/kevin-test-aug-23/import_1_20230809012847_1/ (14.1 MB, 1023d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/kevin-test-aug-23/1_20230809012847/ (13.1 MB, 1023d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/kevin-test-aug-24/import_1_20230803225831_1/ (14.3 MB, 1029d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/kevin-test-aug-24/import_2_20230803230003_2/ (14.3 MB, 1029d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/kevin-test-aug-24/import_3_20230803230108_3/ (14.3 MB, 1029d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/kevin-test-aug-24/import_3_20230803230108_4/ (14.3 MB, 1029d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/kevin-test-aug-24/import_3_20230803230108_5/ (14.3 MB, 1029d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/kevin-test-aug-24/import_3_20230803230108_6/ (14.3 MB, 1029d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/kevin-test-aug-24/import_3_20230803230108_7/ (14.3 MB, 1029d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/kevin-test-aug-24/1_20230803225831/ (13.2 MB, 1029d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/kevin-test-aug-24/2_20230803230003/ (13.2 MB, 1029d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/kevin-test-aug-24/3_20230803230108/ (13.2 MB, 1029d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/mbts/import_1_20240530170909_1/ (6.92 GB, 728d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/mbts/1_20240530170909/ (6.74 GB, 728d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/mobap/import_1_20240530183421_1/ (55.0 MB, 728d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/mobap/1_20240530183421/ (54.8 MB, 728d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/moval/import_1_20240531205515_1/ (629.9 MB, 727d old)
